iteration,modularity,within_clustering
1,-0.0009277644163588659,0.026769155305668195
2,-0.0013153800787548615,0.025121004105878805
3,0.001608606080860519,0.025626875798205665
4,-0.0008609183638704187,0.02568063524395978
5,-0.0009627407951736767,0.023453177318178104
6,-0.0004802910850242539,0.029281722505358473
7,-0.00042618641050218753,0.02577788718806282
8,-0.002675909763478357,0.025303673394595515
9,0.0002522782418883672,0.02533317330769585
10,-0.0009062198389540447,0.026783477903454762
11,-0.0015230917478205063,0.02527847584333942
12,-0.0009078567395733768,0.027178327544172536
13,-0.0003114266540103028,0.02319415374182525
14,8.416874863862943e-05,0.027699339576024957
15,-0.0002975063870299442,0.02802091367701379
16,0.00014662261809441347,0.02611270275645949
17,-0.0022818947613294574,0.02486066669039733
18,-0.0030113092978930065,0.023538141227031486
19,-7.98262536541427e-05,0.02742387523896926
20,-0.0006653706495661503,0.02589594076667953
21,0.0005394242701636764,0.02109417500097352
22,0.0028028987904723697,0.03067757652991193
23,-0.0027763228974797332,0.025839841904613525
24,-0.0010918063017293514,0.025519859898383006
25,-0.003964924722735247,0.02564583022874824
26,0.000686734907441289,0.02741741414343584
27,-0.0001230508484660679,0.024265235708152907
28,-0.001268817168383671,0.027731444664556834
29,0.0006607023772980552,0.026601182545648326
30,0.0011857788228410197,0.022827676226723433
31,-0.00156062545827608,0.031355632037753524
32,-0.0024777650472367924,0.028834589954510055
33,-0.001161682523736372,0.02466493414631401
34,-0.0003638603675574337,0.02783031645888591
35,-0.00232655910740826,0.026781862870114366
36,-0.0015924590680437903,0.026876223536976704
37,-0.0013385134715710849,0.02249889400773893
38,0.0017040371866121836,0.02395888939414513
39,-0.0016233217573217553,0.02125532265374967
40,0.00034351751964033136,0.028036756589084232
41,-0.0013514748393636735,0.02242406100011006
42,-0.0011915879166668247,0.026019700615718157
43,-0.0010075910707230723,0.021015105309395134
44,-0.0016328249972453607,0.025555151401073208
45,0.0005054087940869683,0.0232948437002232
46,-0.0008024511588605681,0.02412088493559447
47,0.0015693324872986718,0.0239051804445663
48,-0.0030529839461699067,0.027689505661286876
49,0.001309100952021716,0.026171854603680402
50,-0.001717084707068962,0.027307659825473028
51,-0.0011216748293337358,0.023553199509477894
52,-0.0017715428078691733,0.021392092122567555
53,-0.0017570042452570863,0.024307825623154818
54,-0.003407962174405925,0.021524322025560597
55,-0.001071517549671154,0.026591367518704844
56,0.0012519665086911577,0.026382493225534855
57,-0.003030342625314643,0.02266696539381338
58,-0.002837260880756111,0.0225801591088211
59,-0.003300548234842671,0.024008702500500568
60,-0.000197901485231541,0.02571732954155485
61,-0.0006758191645352862,0.02482444005804088
62,0.0011434722547901512,0.024537061209233296
63,-0.0006680037154093801,0.01965569765797132
64,0.0006235593591567655,0.023634604467391008
65,-0.0028627396295882327,0.022524964263613934
66,-0.0017862380481170395,0.02885519106372349
67,-0.0011624566955837513,0.02419381915255068
68,-0.0008255565019721864,0.02464209636454214
69,-4.2645168056583666e-05,0.024733006263200207
70,-4.484306276821574e-05,0.022504098645647716
71,-0.0014906093884560416,0.028720272822694085
72,-0.0027808705560179838,0.023019892633608013
73,-0.0011288824012896331,0.02419776003963311
74,-0.003958569861799657,0.022461217087465533
75,-0.0032280681988272383,0.024129759124644493
76,-0.0030180740852260458,0.019681311137912858
77,-0.004202489291712716,0.023586221707198093
78,-0.0013078399174442424,0.023656181487105615
79,0.0008379304288081105,0.022271434468557637
80,0.00014257584713858152,0.027521786116910897
81,-0.000597507594930361,0.026008797454446505
82,8.230865251257491e-05,0.02592323025572729
83,-0.00270662699500238,0.022323744370362636
84,0.0003235353107825805,0.023227235837729385
85,-0.003644241265491892,0.021612211553139703
86,-0.002228621159484137,0.025391013855913833
87,-0.00024070493376417067,0.028091150949757348
88,-0.0020949683240936924,0.023915958791893097
89,-0.0017042904353738615,0.022629835629692008
90,0.002622602101277418,0.027079366569933944
91,0.0002734501589318689,0.029310035888016357
92,0.0003169816976542857,0.024464942153919745
93,0.0008633923478174649,0.026364105651997396
94,0.0010160336311021553,0.027478324336749228
95,-0.0003548976855127646,0.02630612832892906
96,-0.00103236937835995,0.0239522886955148
97,-0.0004596517116583773,0.02742800342641416
98,-0.0016354797014321524,0.025176943670219158
99,-0.004254683380640418,0.021261482385820762
100,0.002001271491507359,0.028612344302044956
